ID_Puesto,Nombre_Puesto,categoria_rol
95,Senior Consultant Software Asset Management & Microsoft Lizenzberatung,Gestión & Agile
96,Senior Engineering Manager,Gestión & Agile
97,AWS Cloud Data Engineer,Data & Analytics
98,Desarrollador de Software,Backend
99,Praxissemester Softwareentwicklung,Backend
100,Fullstack Entwickler,Fullstack
101,BI Engineer,Data & Analytics
102,UI Developer,Frontend
103,Product Owner,Gestión & Agile
104,DevOps Engineer,DevOps & Cloud
105,Backend Developer,Backend
106,Mobile Developer,Mobile
107,Cloud Infrastructure Specialist,DevOps & Cloud
108,React Developer,Frontend
109,Administrador de Sistemas,Soporte & IT
110,Java Engineer,Backend
111,IT Project Manager,Gestión & Agile
112,Android Developer,Mobile
113,Python Developer,Backend
114,Fullstack Engineer,Fullstack
115,Data Scientist,Data & Analytics
116,Ingeniero de Soporte,Soporte & IT
117,Data Analyst,Data & Analytics
118,.NET Consultant,Backend
119,Desarrollador Web Fullstack,Fullstack
120,Administrador Cloud,DevOps & Cloud
121,Soporte Técnico IT,Soporte & IT
122,iOS App Developer,Mobile
123,Scrum Master,Gestión & Agile
124,Frontend Developer,Frontend
125,Analista de Datos,Data & Analytics
